College,Branch,Rank
"University School of Automation & Robotics, GGSIPU (East Campus), Delhi",Artificial Intelligence and Data Science (Dual Degree),108193
"University School of Automation & Robotics, GGSIPU (East Campus), Delhi",Artificial Intelligence and Machine Learning (Dual Degree),120929
"University School of Automation & Robotics, GGSIPU (East Campus), Delhi",Automation and Robotics (Dual Degree),184958
"University School of Automation & Robotics, GGSIPU (East Campus), Delhi",Industrial Internet of Things (Dual Degree),197882
,,
"University School of Information, Communication & Technology",Computer Science and Engineering (Dual Degree),48952
"University School of Information, Communication & Technology",Computer Science and Engineering with specialization in Artificial Intelligence (Dual Degree),50214
"University School of Information, Communication & Technology",Computer Science and Engineering with specialization in Data Science (Dual Degree),52357
"University School of Information, Communication & Technology",Electronics and Communication Engineering (Dual Degree),71608
"University School of Information, Communication & Technology",Information Technology (Dual Degree) college pravesh,58979
,,
Maharaja Agrasen Institute of Technology,Computer Science and Engineering,80744
Maharaja Agrasen Institute of Technology,Computer Science and Engineering with specialization in Artificial Intelligence,88774
Maharaja Agrasen Institute of Technology,Computer Science and Engineering with specialization in Artificial Intelligence and Machine Learning,85535
Maharaja Agrasen Institute of Technology,Computer Science and Engineering with specialization in Data Science,94268
Maharaja Agrasen Institute of Technology,Computer Science and Technology,100587
Maharaja Agrasen Institute of Technology,Electrical and Electronics Engineering,193657
Maharaja Agrasen Institute of Technology,Electrical and Electronics Engineering,193657
Maharaja Agrasen Institute of Technology,Electronics and Communication Engineering,131268
Maharaja Agrasen Institute of Technology,Electronics and Communication Engineering with specialization in Advanced Communication Technology,157089
Maharaja Agrasen Institute of Technology,Information Technology,110890
Maharaja Agrasen Institute of Technology,Information Technology and Engineering,118971
Maharaja Agrasen Institute of Technology,Mechanical Engineering,248340
"Bharati Vidyapeeth's College of Engineering, New Delhi",Computer Science and Engineering,111619
"Bharati Vidyapeeth's College of Engineering, New Delhi",Computer Science and Engineering with specialization in Artificial Intelligence and Machine Learning,122570
"Bharati Vidyapeeth's College of Engineering, New Delhi",Electricaland Electronics Engineering,199332
"Bharati Vidyapeeth's College of Engineering, New Delhi",Electronics and Communication Engineering,174989
"Bharati Vidyapeeth's College of Engineering, New Delhi",Information Technology,129823
"Bharati Vidyapeeth's College of Engineering, New Delhi",Instrumentation and ControlEngineering,205992
"Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi",Artificial Intelligence and Deta Science,333949
"Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi",Artificial Intelligence and Machine Learning,335097
"Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi",Civil Engineering,454790
"Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi",Computer Science,274390
"Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi",Computer Science and Engineering,229209
"Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi",Computer Science and Technology,265498
"Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi",Electronics and Communication Engineering,365952
"Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi",Information Technology,324048
"Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi",Mechanical Engineering,435742
"Guru Tegh Bahadur Institute of Technology, Delhi",Computer  Science and  Engineering,148775
"Guru Tegh Bahadur Institute of Technology, Delhi",Computer  Science and  Engineering with specialization in Artificial intelligence and machince learning,150259
"Guru Tegh Bahadur Institute of Technology, Delhi",Computer  Science and  Engineering with specialization in Data Science,162372
"Guru Tegh Bahadur Institute of Technology, Delhi",Electronics and Communication Engineering,241651
"Guru Tegh Bahadur Institute of Technology, Delhi",Information Technology,183192
"Maharaja Surajmal Institute of Technology, Delhi",Computer  Science and  Engineering,87256
"Maharaja Surajmal Institute of Technology, Delhi",Electrical and Electronics Engineering,162890
"Maharaja Surajmal Institute of Technology, Delhi",Electronics and Communication Engineering,134107
"Maharaja Surajmal Institute of Technology, Delhi",Information Technology,103425
"Bhagwan Parshuram Institute of Technology, Delhi",Computer Science and Engineering,119838
"Bhagwan Parshuram Institute of Technology, Delhi",Computer Science and Engineering with specialization in Data Science,127970
"Bhagwan Parshuram Institute of Technology, Delhi",Electrical and Electronics Engineering,204340
"Bhagwan Parshuram Institute of Technology, Delhi",Electronics and Communication Engineering,185872
"Bhagwan Parshuram Institute of Technology, Delhi",information Technology,140443
